d,g,r
0.2483958702471314,0.8870048785242118,817.2637188791036
0.09700878417458059,0.39032769175777715,670.6577749328388
0.24002068680496158,0.500615124814988,907.955453788218
0.5966123269220713,0.7381096168003566,165.8341396207942
0.749032832644925,0.26253409878214407,916.1221178131295
0.921006265108791,0.3148889849360038,837.9378235851404
0.9382470376320353,0.12386505870566122,367.5588684200557
0.09489290287606944,0.6224023679530941,31.530025942102192
0.3406720828166486,0.9366092397470422,742.7980523903037
0.22443967922181485,0.9907000598213783,537.5554365390094
0.9036958934053574,0.7290463798849034,693.2544890084883
0.7123941196283498,0.7099690140175491,991.5855094988304
0.1251761246869566,0.14588451953242676,911.9378711595082
0.07420340033566508,0.5243622220517612,115.30202728067695
0.854737761156492,0.8148518895211619,951.448129576135
0.7735029240703524,0.20209236941388742,779.6646905665322
0.019518561831193826,0.7436914755880795,730.010727851549
0.40804197988537005,0.14760642294106618,758.596200450623
0.8955081793420698,0.4145349572160122,95.73718063164772
0.268941632090144,0.47931429640334644,851.2478994169898
0.05405601694908713,0.23718438896083427,138.53135725235165
0.9519016061146374,0.8045892661087228,966.9359944105887
0.28542911812542304,0.8953446839645116,859.9562369592916
0.7662532604361605,0.5198633907334368,390.4391626513912
0.21354914939295833,0.9806279112947551,67.38292380850619
0.5041437410011699,0.3725775305798862,570.8243929539117
0.9384339281714051,0.07681240462903127,956.7057854737152
0.6050839635189068,0.3038412354474618,773.9274956749663
0.8962055178128069,0.28668926020122254,262.8732371117406
0.3723940583269739,0.1791926561626449,474.3098653398402
0.23648341932239814,0.8065974045184378,744.3974576275523
0.8065125175669647,0.33984510264841394,420.61569349708896
0.8419449069133564,0.9981949323423733,76.9452106493842
0.809996999414147,0.18734276164990438,819.2395261980321
0.5773585644961188,0.7410577269663452,150.68480706644394
0.6707530319759625,0.566036830700363,622.4832165254661
0.9659959518940069,0.8878662118472469,201.77179154292423
0.23288344888695456,0.7933024347178277,398.51549866110645
0.008120107030022528,0.8113285757913998,35.24833368871039
0.2920007584157853,0.22408166189721768,947.9775962379059
0.8955819885174707,0.3984996880055284,511.30870255071216
0.5839934698941817,0.2744734253473984,694.1008900368694
0.611449176915593,0.967733712387559,55.50009416045165
0.7590897684536733,0.37963443023039734,36.50476575998252
0.12190026986325286,0.590134880020078,704.2303609757043
0.4010950452229083,0.08222579861518342,939.3941293422332
0.5947210521526151,0.0958414958391719,203.36900889270325
0.34860967433279755,0.023887573130381923,982.3811479216687
0.8729816868211575,0.9107648036248536,678.8540749499854
0.9225039027830255,0.2315500819460854,39.38604447593641
0.3743898015256537,0.6433812578987715,963.0059944079379
0.15643398498909333,0.45112743187575477,193.25558617984439
0.7061578292670386,0.5912976675290887,507.0236616298898
0.06707728819313208,0.5217491072956847,698.5872471747858
0.7425354151639159,0.09738203993825834,290.7678636572762
0.7753105727649249,0.22685342990909696,588.923010277477
0.18798639559324481,0.2785631600325148,220.12072295565542
0.41640429261292033,0.03849827927030336,472.9718518554694
0.5353459556267572,0.5578464094206068,104.44369422543254
0.4758702405984564,0.8237194775096612,747.3148827217245
0.7469807499108424,0.5749545637253018,98.39635536629731
0.9965174277863008,0.5583899231661694,964.3308110202569
0.058261421923147094,0.9693916334338054,555.6369892763062
0.007946147364333411,0.9775135464328378,175.44178474409233
0.23592995617769474,0.8553770820155883,840.8063562689641
0.9457841730772544,0.35663751066275484,213.42695654643927
0.16655523209519063,0.11549913956049684,167.13481301580845
0.2294739301200437,0.33114487244861357,337.98473727195966
0.8073895574831268,0.9435144915926685,849.980263833369
0.22888320576775656,0.7077661053592891,581.5730184235416
0.25639421775204374,0.5693103890692792,404.65899937772264
0.7516360055178589,0.5020846416297213,859.8728924595639
0.23340453949166484,0.4517134414984687,594.6120654564246
0.7737470092295128,0.2909733533548273,304.2851167254049
0.9250291410686143,0.5749295546818095,155.98859563812906
0.43203233351326253,0.08538798044393603,184.9140601549998
0.7431806615665401,0.974815963388311,297.8248055629499
0.5665654155429448,0.8992929315406938,120.74370389504475
0.31903631194337234,0.28666538946248865,786.0341838440315
0.5118584972633401,0.6981739243821711,131.75217251385828
0.6649768052985277,0.28463999145144314,303.95445290976033
0.7689606064791519,0.18299032213426636,818.1511120629742
0.8105694141622503,0.35723731524132685,120.04530439133254
0.6055585474342143,0.9175056640685791,706.0643919934496
0.22655049483381495,0.025135923341083166,983.3804645462674
